<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20230727,1.34,1.3699,1.3219,1.35,4500
AACI,D,20230727,10.56,10.57,10.54,10.57,61300
AACIW,D,20230727,0.0652,0.0688,0.064,0.0688,800
AADI,D,20230727,5.75,5.75,5.29,5.38,124600
AADR,D,20230727,52.51,52.519,51.67,51.67,1700
AAL,D,20230727,16.55,16.69,16.34,16.57,24395800
AAME,D,20230727,1.93,1.94,1.852,1.87,4100
AAOI,D,20230727,8.01,8.22,6.16,6.19,4212800
AAON,D,20230727,101.5,102,98.42,100.02,272000
AAPB,D,20230727,29.75,29.9099,28.8,28.93,6000
AAPD,D,20230727,19.88,20.2797,19.815,20.22,134900
AAPL,D,20230727,196.02,197.2,192.55,193.22,47460100
AAPU,D,20230727,29.48,29.73,28.68,28.84,112500
AAXJ,D,20230727,69.5,69.5,68.56,68.66,243100
ABCB,D,20230727,42.13,42.32,40.644,41.58,697400
ABCL,D,20230727,7.79,7.89,7.51,7.52,1101800
ABCM,D,20230727,23.5,23.63,23.29,23.35,1803800
ABEO,D,20230727,3.44,3.4855,3.3,3.35,316600
ABIO,D,20230727,2.04,2.0416,2.0142,2.04,7300
ABL,D,20230727,6.04,6.21,6.04,6.2,5000
ABLLW,D,20230727,0.2523,0.31,0.245,0.245,56900
ABNB,D,20230727,151.89,153.175,147.555,148.5,5425900
ABOS,D,20230727,7.29,7.45,7.12,7.21,775800
ABSI,D,20230727,2.09,2.12,1.984,1.99,387200
ABUS,D,20230727,2.15,2.16,2.11,2.14,360600
ABVC,D,20230727,4.08,4.4,2.89,3.1,1045400
ACAD,D,20230727,29.48,29.48,28.82,29.02,1002000
ACAHW,D,20230727,0.03,0.0322,0.0289,0.0289,10500
ACAX,D,20230727,9.8,10.26,9.26,9.47,21300
ACAXR,D,20230727,0.35,0.3806,0.2997,0.368,110300
ACB,D,20230727,0.496,0.5198,0.4873,0.4925,7984200
ACCD,D,20230727,14.32,14.5346,13.85,14.13,571200
ACDC,D,20230727,12.66,12.86,12.295,12.44,487200
ACDCW,D,20230727,0.0075,0.009,0.005,0.005,21200
ACER,D,20230727,0.843,0.854,0.826,0.8357,18100
ACET,D,20230727,2.53,2.67,2.5,2.5,371200
ACGL,D,20230727,84.8,84.83,79.55,79.67,3504200
ACGLN,D,20230727,19.54,19.62,19.27,19.34,31100
ACGLO,D,20230727,23.005,23.0054,22.5,22.5,12000
ACGN,D,20230727,0.83,1,0.8254,0.87,232900
ACHC,D,20230727,74.09,74.43,72.83,73.36,1037800
ACHL,D,20230727,1.05,1.06,1.02,1.04,54500
ACHV,D,20230727,5.68,5.75,5.32,5.36,63500
ACIU,D,20230727,2.93,2.93,2.8,2.82,72700
ACIW,D,20230727,23.63,23.72,22.58,22.75,668800
ACLS,D,20230727,182.5,186.97,181.27,182.75,498300
ACLX,D,20230727,33.99,33.99,32.675,33.09,441700
ACMR,D,20230727,12.63,12.8,12.18,12.39,588400
ACNB,D,20230727,34.56,34.56,32.33,32.96,25800
ACNT,D,20230727,8.93,8.93,8.874,8.89,7500
ACON,D,20230727,0.57,0.6,0.5681,0.5701,69300
ACONW,D,20230727,0.119,0.1191,0.08,0.0803,3100
ACOR,D,20230727,14.73,15.22,14.5,14.5,12500
ACRS,D,20230727,9.93,9.98,9.58,9.6,292000
ACRV,D,20230727,12.54,12.57,12.0206,12.28,8300
ACRX,D,20230727,0.98,1.0039,0.95,0.96,63000
ACST,D,20230727,2.51,2.59,2.41,2.46,27600
ACT,D,20230727,27.68,27.68,27.21,27.31,407500
ACTG,D,20230727,3.97,4.035,3.96,3.98,134600
ACVA,D,20230727,16.64,16.64,16.08,16.16,792200
ACWI,D,20230727,99.53,99.53,97.985,98.17,3035900
ACWX,D,20230727,51.13,51.13,50.485,50.53,982700
ACXP,D,20230727,1.96,1.96,1.75,1.76,92100
ADAG,D,20230727,1.38,1.4,1.366,1.4,5400
ADAP,D,20230727,0.93,0.93,0.87,0.87,1051500
ADBE,D,20230727,523.16,527.9,511.24,513.97,2477200
ADD,D,20230727,1.14,1.18,1.11,1.1493,46100
ADEA,D,20230727,11.79,11.9,11.665,11.69,400200
ADER,D,20230727,11.085,11.3,11.085,11.14,600
ADERW,D,20230727,0.13,0.133,0.0675,0.09,24500
ADES,D,20230727,2.13,2.43,2.11,2.28,150600
ADI,D,20230727,195.5,198.1,193.69,195.45,3474500
ADIL,D,20230727,0.2585,0.281,0.2585,0.263,143400
ADILW,D,20230727,0.0015,0.0015,0.0009,0.0009,5100
ADMA,D,20230727,3.93,3.94,3.85,3.9,1406000
ADMP,D,20230727,1.83,1.96,1.55,1.62,315700
ADN,D,20230727,0.881,0.89,0.8151,0.8499,328900
ADNWW,D,20230727,0.1,0.11,0.1,0.11,17900
ADOC,D,20230727,11.45,11.6,11.23,11.35,66200
ADP,D,20230727,254.75,256.84,249.64,250.88,2677400
ADPT,D,20230727,8.19,8.2,7.75,7.82,762800
ADSE,D,20230727,5.9071,5.94,5.3477,5.9,11800
ADSEW,D,20230727,0.5495,0.5495,0.505,0.505,600
ADSK,D,20230727,216,220.25,208.45,209.46,1901900
ADTH,D,20230727,1.5,1.5,1.45,1.47,74900
ADTN,D,20230727,10.27,10.2701,9.9,9.91,605800
ADTX,D,20230727,0.395,0.4,0.39,0.39,55100
ADUS,D,20230727,90.2,90.2,87.97,90.07,107900
ADV,D,20230727,2.7,2.73,2.48,2.5,390000
ADVM,D,20230727,1.96,1.97,1.76,1.82,392000
ADVWW,D,20230727,0.1735,0.25,0.16,0.165,40800
ADXN,D,20230727,0.559,0.577,0.5153,0.52,53000
AEAEW,D,20230727,0.0996,0.0998,0.0591,0.0591,3900
AEHL,D,20230727,0.607,0.607,0.57,0.591,66600
AEHR,D,20230727,52.82,52.9846,48.71,48.99,1076300
AEI,D,20230727,1.71,1.7295,1.68,1.72,3900
AEIS,D,20230727,118.82,122.22,117.04,120.22,331200
AEMD,D,20230727,0.35,0.37,0.35,0.3576,103800
AENT,D,20230727,1.9982,1.9982,1.83,1.9,23500
AENTW,D,20230727,0.045,0.0488,0.045,0.0488,2000
AEP,D,20230727,87.29,87.65,84.27,85.26,4837900
AEPPZ,D,20230727,50.28,50.55,49.54,49.62,415800
AEY,D,20230727,0.61,0.6237,0.596,0.6,47400
AEYE,D,20230727,5.41,5.5987,5.18,5.27,18300
AEZS,D,20230727,3.0307,3.0796,3.01,3.0101,11100
AFAR,D,20230727,10.6401,10.68,10.6401,10.68,900
AFARW,D,20230727,0.0365,0.0365,0.0116,0.0179,11200
AFBI,D,20230727,14,14.4,13.51,13.51,8300
AFCG,D,20230727,14.46,14.5996,14.1,14.17,188200
AFIB,D,20230727,0.737,0.737,0.6401,0.67,445800
AFMD,D,20230727,0.6262,0.6262,0.5649,0.57,389200
AFRI,D,20230727,11.05,11.11,10.9,10.93,22200
