<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
A,D,20230728,127.25,127.51,123.16,126.05,3138800
AA,D,20230728,34.35,34.79,33.79,34.76,4173600
AAC,D,20230728,10.59,10.62,10.59,10.62,230900
AAC.T,D,20230728,0.35,0.35,0.35,0.35,100
AAC.U,D,20230728,10.7,10.7,10.7,10.7,300
AAC.W,D,20230728,0.88,0.9,0.88,0.88,13000
AACT,D,20230728,10.19,10.19,10.17,10.18,83500
AAI-B,D,20230728,19.5,19.5001,19.5,19.5001,400
AAI-C,D,20230728,23.59,23.59,23.59,23.59,2100
AAIC,D,20230728,4.7,4.7275,4.63,4.66,404100
AAM-A,D,20230728,23.21,23.76,23.207,23.6,6300
AAM-B,D,20230728,23.43,24.05,23.4001,24,18400
AAN,D,20230728,15.47,15.65,15.325,15.43,202800
AAP,D,20230728,73.73,74.2,72.97,73.17,1691600
AAT,D,20230728,22.48,22.54,22.25,22.4,236800
AB,D,20230728,33.08,33.15,32.25,32.54,480000
ABBV,D,20230728,149.92,151.76,148.555,150.85,8000500
ABC,D,20230728,188.02,188.02,185.88,186.56,1104700
ABEV,D,20230728,3.1,3.14,3.085,3.13,7882800
ABG,D,20230728,224.28,224.28,216.22,219.99,145000
ABM,D,20230728,45.11,45.74,45.044,45.18,556800
ABR,D,20230728,16.8,17.74,16.58,17.62,10586000
ABR-D,D,20230728,19,19.2,18.9,19.18,36500
ABR-E,D,20230728,18.99,19.95,18.99,19.33,5200
ABR-F,D,20230728,20.4,20.5,20.2851,20.435,20700
ABT,D,20230728,113.18,113.52,112.32,112.73,3409300
AC,D,20230728,37.21,38.1,36.68,37,16500
ACA,D,20230728,75.18,75.54,73.91,75.34,370800
ACCO,D,20230728,5.97,6.04,5.915,6.02,576900
ACEL,D,20230728,11.18,11.31,11.15,11.25,674000
ACH.W,D,20230728,1,1.1,1,1.05,13400
ACHR,D,20230728,4.67,4.89,4.63,4.78,4674200
ACI,D,20230728,21.48,21.7,21.46,21.66,1485700
ACM,D,20230728,86.37,87.13,86.145,86.99,418900
ACN,D,20230728,319.73,322.15,313.97,315.55,1920900
ACP,D,20230728,6.84,6.88,6.84,6.85,264000
ACP-A,D,20230728,22.7,23.88,22.7,23.26,5300
ACR,D,20230728,9.03,9.1,9,9.02,12000
ACR-C,D,20230728,22.594,23,22.594,22.68,5600
ACR-D,D,20230728,20.8,21,20.05,20.72,8700
ACR.W,D,20230728,0.1895,0.1895,0.0911,0.1,27300
ACRE,D,20230728,10.59,10.74,10.52,10.69,457100
ACV,D,20230728,20.23,20.38,20.2001,20.38,32000
ADC,D,20230728,67.05,67.245,65.33,65.68,647500
ADC-A,D,20230728,18.16,18.16,17.66,17.66,1700
ADCT,D,20230728,1.25,1.3,1.25,1.28,286400
ADM,D,20230728,86.28,86.49,85.91,86.39,1621200
ADNT,D,20230728,42.8,42.8,41.75,42,617100
ADT,D,20230728,6.38,6.42,6.33,6.36,1059200
ADX,D,20230728,17.42,17.61,17.375,17.59,244200
AEE,D,20230728,87.3,87.51,85.52,85.83,1090700
AEFC,D,20230728,21.04,21.04,20.73,20.9,17400
AEG,D,20230728,5.41,5.425,5.36,5.39,1305600
AEL,D,20230728,53.98,54.09,53.46,53.49,430900
AEL-A,D,20230728,20.79,21.005,20.71,20.89,25700
AEL-B,D,20230728,22.79,23.01,22.666,22.83,14600
AEM,D,20230728,51,51.6,50.74,51.32,1832400
AENZ,D,20230728,1.8,2.04,1.8,1.8057,6000
AEO,D,20230728,13.82,14.24,13.715,13.97,3650700
AER,D,20230728,64.5,66.39,63.965,65.85,1467000
AES,D,20230728,21.74,21.885,21.475,21.7,4272700
AESC,D,20230728,84.71,85.44,84.71,85.44,32200
AESI,D,20230728,19.03,19.63,19.03,19.52,174700
AEV.W,D,20230728,0.0851,0.0851,0.085,0.0851,11800
AEVA,D,20230728,1.18,1.24,1.18,1.22,549500
AFB,D,20230728,10.7,10.76,10.67,10.7,80400
AFG,D,20230728,123.27,123.38,121.97,122.03,302000
AFGB,D,20230728,24.09,24.19,23.98,24.03,8600
AFGC,D,20230728,21.21,21.2102,20.72,20.94,13000
AFGD,D,20230728,22.7,23.1356,22.6,22.9,14800
AFGE,D,20230728,18.15,18.2,18.1,18.15,11100
AFL,D,20230728,72.46,72.7,71.97,72.39,1800000
AFT,D,20230728,12.96,13.02,12.96,13.01,30700
AFTR,D,20230728,10.39,10.39,10.39,10.39,100
AG,D,20230728,6.36,6.46,6.3,6.37,3840000
AGAC,D,20230728,10.59,10.59,10.59,10.59,2200
AGCO,D,20230728,133.92,133.92,131.01,132.5,928200
AGD,D,20230728,9.69,9.72,9.67,9.69,49300
AGI,D,20230728,12,12.27,12,12.17,2329200
AGL,D,20230728,19.21,19.42,18.47,18.87,1877100
AGM,D,20230728,160.4,161.145,158.71,160.06,69800
AGM-D,D,20230728,23.35,23.35,23.16,23.25,4000
AGM-E,D,20230728,23.3878,23.3878,23.3878,23.3878,600
AGM-F,D,20230728,21.02,21.1399,20.8,21.03,13800
AGM-G,D,20230728,19.9,19.9024,19.65,19.76,2200
AGM.A,D,20230728,132.01,132.01,131.38,131.38,800
AGO,D,20230728,61,61,59.8,59.8,164600
AGR,D,20230728,37.73,38.06,37.16,37.46,707800
AGRO,D,20230728,10.77,10.8406,10.68,10.78,276500
AGS,D,20230728,6.55,6.63,6.48,6.62,218000
AGTI,D,20230728,16.51,16.57,16.16,16.31,147000
AGX,D,20230728,37.77,37.989,37.59,37.61,36000
AHH,D,20230728,11.98,12.23,11.96,12.2,351800
AHH-A,D,20230728,22.83,22.84,22.83,22.84,1300
AHL-C,D,20230728,25.05,25.3399,25.05,25.2,7500
AHL-D,D,20230728,18.79,19.18,18.59,18.7385,6000
AHL-E,D,20230728,18.23,18.3579,18,18,13800
AHT,D,20230728,3.72,3.8006,3.69,3.8,299000
AHT-D,D,20230728,16.62,16.62,16.62,16.62,100
AHT-F,D,20230728,14.75,14.75,13.999,14.0992,21400
AHT-G,D,20230728,15.32,15.7599,14.31,14.95,5400
AHT-H,D,20230728,14.67,14.83,14.5001,14.83,1700
AHT-I,D,20230728,15.2,15.2,14.4101,14.83,2100
AI,D,20230728,39.01,39.99,38.3,39.76,15823600
AIC,D,20230728,24.59,24.88,24.59,24.6,1100
AIF,D,20230728,12.71,12.86,12.71,12.78,57000
AIG,D,20230728,61.2,61.32,59.575,60.16,3904800
AIG-A,D,20230728,24.66,24.84,24.2001,24.83,20700
AIN,D,20230728,94.01,95.34,94.01,95.14,230800
AIO,D,20230728,18.56,18.63,18.5136,18.61,66700
AIR,D,20230728,58.27,58.99,58.235,58.3,191900
AIRC,D,20230728,34.35,34.905,33.92,34.03,1425900
AIT,D,20230728,143.63,144.18,142.79,143.34,94200
AIU,D,20230728,1.02,1.08,1.02,1.07,6400
AIV,D,20230728,8.6,8.6106,8.37,8.44,1959600
AIZ,D,20230728,136.87,138.26,132.83,133.27,540700
AIZN,D,20230728,18.97,19.01,18.8,18.97,17200
AJG,D,20230728,221.8,221.92,215.07,216.22,1041800
AJX,D,20230728,6.97,6.98,6.85,6.93,129000
AJXA,D,20230728,24.59,24.59,24.58,24.5899,5800
AKA,D,20230728,0.4763,0.5244,0.4763,0.485,125900
AKO.A,D,20230728,13.34,13.34,13.11,13.19,1300
AKO.B,D,20230728,16.9,17.09,16.7,17,9100
AKR,D,20230728,15.48,15.58,15.415,15.55,660200
AL,D,20230728,41.05,42.048,41.01,41.67,802700
AL-A,D,20230728,23.35,23.5962,23.21,23.34,8400
ALB,D,20230728,210.33,211.9599,205.62,208.05,1828600
ALC,D,20230728,84.89,85.38,84.68,84.99,480800
ALCC,D,20230728,10.33,10.35,10.32,10.33,259700
ALE,D,20230728,57.72,58.03,56.85,57.21,217900
ALEX,D,20230728,19.99,19.99,18.8,19,254100
ALG,D,20230728,193.41,193.41,190.99,191.16,34000
ALIT,D,20230728,9.75,9.84,9.71,9.81,1304000
ALK,D,20230728,47.45,48.475,47.34,48.12,1843600
ALL,D,20230728,113.85,114.09,111.78,112.46,1165500
ALL-B,D,20230728,25.29,25.405,25.26,25.3423,23900
ALL-H,D,20230728,21.53,21.71,21.3951,21.71,119400
ALL-I,D,20230728,20.01,20.07,19.9,19.9965,11500
ALL-J,D,20230728,26.81,26.87,26.7701,26.84,27800
ALL.W,D,20230728,0.257,0.257,0.25,0.25,1600
ALLE,D,20230728,116.97,117.045,114.39,114.99,986500
ALLG,D,20230728,2.7,2.74,2.58,2.58,52100
ALLY,D,20230728,29.86,30.23,29.47,29.95,3702800
ALSN,D,20230728,60,60.17,57.8,58.84,1466900
ALT-A,D,20230728,26.69,27,26.35,26.7582,2000
ALTG,D,20230728,16.08,16.29,16,16.2,269600
ALV,D,20230728,99.56,100.74,99.45,100.42,684400
ALX,D,20230728,187.39,190.22,187.39,190.08,9400
AM,D,20230728,11.73,11.9,11.69,11.85,2035400
AMBC,D,20230728,14.51,14.51,13.95,14.06,325800
AMBP,D,20230728,3.69,3.8,3.69,3.75,850700
AMC,D,20230728,4.66,4.67,4.52,4.64,24812900
AMCR,D,20230728,10.31,10.33,10.2,10.22,6227000
AME,D,20230728,158.82,159.3648,157.7425,158.25,805100
AMG,D,20230728,142.05,142.05,136.86,138.1,536900
AMH,D,20230728,36.7,37.54,36.38,36.99,2864000
AMH-G,D,20230728,23,23,22.79,22.8199,12800
AMH-H,D,20230728,24.0299,24.0299,23.55,23.5663,10500
AMK,D,20230728,30.6,30.87,30.195,30.25,89400
AMN,D,20230728,105.22,106.495,104.67,106.47,367400
AMP,D,20230728,352.79,353.17,344.72,345.21,669200
AMP.V,D,20230728,0.477,0.477,0.45,0.477,29100
AMPS,D,20230728,6.54,6.635,6.375,6.59,1008900
AMPX,D,20230728,7.25,7.5,7.15,7.39,99500
AMPY,D,20230728,6.89,7.02,6.77,6.98,351500
AMR,D,20230728,169.5,170.39,166.805,170,155000
AMRC,D,20230728,56.96,57.91,56.16,57.42,243200
AMRX,D,20230728,2.99,3.19,2.99,3.16,649500
AMT,D,20230728,194.93,196.18,188.94,188.97,1714500
AMTD,D,20230728,1.52,1.54,1.49,1.5,192100
AMWL,D,20230728,2.38,2.39,2.31,2.34,693000
AMX,D,20230728,21.32,21.61,21.32,21.45,777800
AN,D,20230728,156.7,158.3,154.04,157.8,669100
ANET,D,20230728,157,157.18,149.1,151.09,7289100
ANF,D,20230728,39.14,40.5,39.02,39.98,1864000
ANVS,D,20230728,13,13.39,12.98,13.26,21800
AOD,D,20230728,8.35,8.39,8.34,8.38,253300
AOMR,D,20230728,9.38,9.53,9.36,9.49,32300
AON,D,20230728,334.88,343.68,317.75,319.82,1683000
AORT,D,20230728,17.02,17.23,16.94,17.08,64800
AOS,D,20230728,74.57,74.57,71.96,72.19,1405400
AP,D,20230728,3.55,3.7631,3.52,3.712,12400
APAM,D,20230728,41.87,42,41.041,41.14,773400
APC.W,D,20230728,0.05,0.05,0.05,0.05,437500
APCA,D,20230728,10.82,10.82,10.82,10.82,100
APD,D,20230728,304.96,304.96,302.59,303.43,560300
APE,D,20230728,1.84,1.87,1.78,1.8,14020900
APG,D,20230728,28.36,28.625,28.23,28.29,605400
APG.U,D,20230728,10.41,10.41,10.41,10.41,100
APG.W,D,20230728,0.1,0.1258,0.1,0.1236,1300
APH,D,20230728,89.34,89.45,87.12,87.57,4552400
APLE,D,20230728,15.07,15.525,15.07,15.45,1539400
APO,D,20230728,81.69,82.1,81.23,81.81,1766200
APRN,D,20230728,4.82,5.28,4.76,5.16,268600
APTV,D,20230728,110.8,111.07,108.92,109.17,1273800
AQN,D,20230728,8.24,8.24,8.12,8.17,1539600
AQNA,D,20230728,24.46,24.71,24.41,24.71,17600
AQNB,D,20230728,22.77,22.95,22.72,22.86,753400
AQNU,D,20230728,29.14,29.29,29.0302,29.18,17600
AR,D,20230728,25.96,27.05,25.79,26.68,6692700
ARC,D,20230728,3.54,3.62,3.54,3.59,121700
ARCH,D,20230728,123.52,124.45,119.9301,123.8,535500
ARCO,D,20230728,11.44,11.44,11.17,11.22,691200
ARDC,D,20230728,12.61,12.78,12.61,12.73,83800
ARE,D,20230728,127.7,127.77,125.84,126.51,894200
ARES,D,20230728,99.9,100.23,98.58,99.04,662200
ARG-A,D,20230728,21.9,22.03,21.73,22.03,14200
ARGD,D,20230728,22.6,22.6,22.6,22.6,400
ARGO,D,20230728,29.76,29.76,29.7,29.7,302300
ARI,D,20230728,11.62,11.9,11.51,11.89,1269700
ARIS,D,20230728,10.77,10.96,10.7,10.76,101000
ARL,D,20230728,19.42,19.42,18.58,18.87,6500
ARLO,D,20230728,10.93,11.235,10.92,11.18,512200
ARMK,D,20230728,40.57,40.705,40.21,40.31,1568800
ARNC,D,20230728,29.8,29.81,29.79,29.79,736300
AROC,D,20230728,11.16,11.565,11.16,11.52,736800
ARR,D,20230728,5.22,5.25,5.12,5.16,8682700
ARR-C,D,20230728,20.92,20.98,20.7601,20.8701,5900
ARW,D,20230728,141.94,142.47,140.39,140.53,319300
ASA,D,20230728,15.25,15.395,15.24,15.33,39900
ASAI,D,20230728,14.34,14.42,13.88,13.98,711800
ASAN,D,20230728,22.69,23.35,22.445,23.35,1806000
ASB,D,20230728,18.91,19.29,18.71,19.21,1644800
ASB-E,D,20230728,18.76,18.76,18.365,18.58,4400
ASB-F,D,20230728,17.46,17.68,17.44,17.61,21900
ASBA,D,20230728,21.84,22.56,21.8116,21.99,26600
ASC,D,20230728,13.3,13.64,13.19,13.55,612400
ASG,D,20230728,5.45,5.46,5.41,5.43,211500
ASGI,D,20230728,18.15,18.255,18.15,18.18,38700
ASGN,D,20230728,79.03,79.8,78.5,78.8,382400
ASH,D,20230728,91.93,92.875,91.2,91.81,530100
ASIX,D,20230728,40.21,40.3263,39.205,39.28,96100
ASPN,D,20230728,8,8.14,7.83,7.99,376900
ASR,D,20230728,284.32,288.21,282.545,285.66,29200
ASX,D,20230728,8.26,8.43,8.24,8.4,4912900
ATC-D,D,20230728,23.87,24.08,23.87,24.08,1500
ATC-H,D,20230728,22.85,22.85,22.3444,22.48,11700
ATC-I,D,20230728,24.25,24.5,24.25,24.35,10100
ATEN,D,20230728,15.48,15.695,15.24,15.58,742200
ATGE,D,20230728,43.12,43.46,42.85,42.92,214100
ATH-A,D,20230728,21.04,21.21,20.82,21.09,48000
ATH-B,D,20230728,19.47,19.7298,19.38,19.38,17700
ATH-C,D,20230728,23.38,23.47,23.02,23.17,41700
ATH-D,D,20230728,16.61,16.75,16.595,16.75,70500
ATH-E,D,20230728,24.95,24.95,24.68,24.76,23800
ATHM,D,20230728,32.34,33.3899,32.04,33.24,439300
ATI,D,20230728,46.55,47.22,46.235,47.01,697800
ATIP,D,20230728,6.52,6.7699,6.52,6.67,8100
ATKR,D,20230728,157.43,157.65,155.43,157.39,273200
ATMU,D,20230728,24.46,24.65,24.08,24.5,147200
ATO,D,20230728,123.26,123.465,121.6,122.1,526800
ATR,D,20230728,122.49,126.99,121.88,123.78,513000
ATS,D,20230728,44.81,45.68,44.81,45.42,29100
ATUS,D,20230728,3.3,3.505,3.275,3.46,4366300
AU,D,20230728,22.12,22.2,21.95,22.02,1273900
AUB,D,20230728,31.85,32.06,31.01,31.2,438700
AUB-A,D,20230728,21.09,21.45,20.9,20.9,10600
AVA,D,20230728,39.2,39.2,38.16,38.96,863700
AVAL,D,20230728,2.56,2.65,2.53,2.62,74300
AVB,D,20230728,187.92,189.07,184.24,186.13,770300
AVD,D,20230728,17.95,18.12,17.87,17.88,95200
AVK,D,20230728,11.73,11.9,11.7019,11.87,83900
AVNS,D,20230728,24.55,24.66,24.09,24.39,192700
AVNT,D,20230728,40.64,40.76,39.97,40.13,761000
AVTR,D,20230728,21.01,21.48,20.25,21.28,23103500
AVY,D,20230728,186.04,187.39,183.5,184.6,893500
AWF,D,20230728,9.86,9.95,9.86,9.89,208800
AWI,D,20230728,78.26,78.98,78,78.42,287500
AWK,D,20230728,149.46,149.49,146.39,146.94,1017900
AWP,D,20230728,4.06,4.07,3.96,4.02,439500
AWR,D,20230728,87.02,88.22,86.34,88.07,221800
AX,D,20230728,49.77,50.803,47.67,48.71,630200
AXL,D,20230728,9.34,9.55,9.25,9.26,1026800
AXP,D,20230728,165.29,166.58,164.64,165.43,2925900
AXR,D,20230728,17.22,17.22,16.2,16.62,32400
AXS,D,20230728,55.66,55.66,54.79,54.95,324500
AXS-E,D,20230728,20.39,20.61,20.1725,20.35,29800
AXTA,D,20230728,32.39,32.525,32.085,32.35,1733200
AYI,D,20230728,165.93,167.9519,164.68,166.1,347700
AYX,D,20230728,38.5,39.25,38.26,38.87,1070900
AZEK,D,20230728,31.11,31.35,30.78,30.95,1069100
AZO,D,20230728,2456.99,2491.29,2456.99,2477.77,111000
AZUL,D,20230728,11.18,11.34,10.88,11.04,1024500
AZZ,D,20230728,44.85,44.98,44.07,44.09,50300
B,D,20230728,38.33,40.8279,38.01,40.56,444800
BA,D,20230728,236.12,240.13,235.7,238.69,7059500
BABA,D,20230728,98.07,101.22,97.96,100.55,31956500
BAC,D,20230728,32.15,32.16,31.71,31.9,33296500
BAC-B,D,20230728,25.08,25.16,25.05,25.11,78500
BAC-E,D,20230728,20.65,20.81,20.58,20.58,10200
BAC-K,D,20230728,24.38,24.38,24.2905,24.31,51400
BAC-L,D,20230728,1189.1,1200.9,1189.1,1198.2,5400
BAC-M,D,20230728,22.56,22.68,22.54,22.59,78200
BAC-N,D,20230728,21.31,21.48,21.28,21.35,79400
BAC-O,D,20230728,18.65,18.7899,18.6362,18.76,48200
BAC-P,D,20230728,17.9,17.9,17.7798,17.89,46100
BAC-Q,D,20230728,18.54,18.58,18.3544,18.53,74100
BAC-S,D,20230728,20.45,20.53,20.3,20.53,33700
BAH,D,20230728,114.15,121.6,114.15,120.94,1456900
BAK,D,20230728,10.37,10.37,10.2,10.34,474700
BALL,D,20230728,59.06,59.29,58.28,58.75,981400
BALY,D,20230728,16.36,16.47,15.995,16.18,210600
BAM,D,20230728,34.03,34.255,33.72,33.84,673900
BANC,D,20230728,14.38,14.575,13.94,14.47,2348200
BAP,D,20230728,157.31,158.37,155.03,158.03,94200
BARK,D,20230728,1.36,1.41,1.36,1.4,353600
BAX,D,20230728,45.57,47.51,44.755,47.01,9516600
BB,D,20230728,4.72,4.78,4.68,4.75,5067400
BBA.W,D,20230728,0.3,0.325,0.295,0.3168,75200
BBAI,D,20230728,1.8,1.88,1.75,1.87,2732500
BBAR,D,20230728,5.71,5.795,5.6,5.68,458500
BBD,D,20230728,3.48,3.525,3.455,3.49,26375100
BBDC,D,20230728,8.29,8.34,8.26,8.32,396600
BBDO,D,20230728,3.12,3.12,3.06,3.06,3400
BBN,D,20230728,16.42,16.49,16.36,16.48,146600
BBU,D,20230728,17.49,17.6,17.2,17.4,6400
BBUC,D,20230728,20.76,20.76,20.38,20.55,24000
BBVA,D,20230728,8.09,8.14,8.048,8.05,973100
BBW,D,20230728,24.4,24.81,24.27,24.44,165700
BBWI,D,20230728,36.6,36.81,36.02,36.54,2415900
BBY,D,20230728,84.38,84.5,82.64,82.9,1893900
BC,D,20230728,86.42,87.17,85.28,85.54,586000
BC-A,D,20230728,25.1,25.32,25.06,25.22,10600
BC-B,D,20230728,25.23,25.44,25.19,25.44,2800
BC-C,D,20230728,25.02,25.0811,24.78,24.95,36600
BCAT,D,20230728,15.27,15.37,15.24,15.37,188300
BCC,D,20230728,100.75,102.66,100.42,101.93,335700
BCE,D,20230728,43.26,43.41,43.03,43.08,1066800
BCH,D,20230728,22.97,23.2424,22.565,22.63,62700
BCO,D,20230728,71.12,72,71.08,71.81,175200
BCS,D,20230728,7.99,8.04,7.96,8,8010400
BCSF,D,20230728,14.5,14.69,14.49,14.69,113500
BCX,D,20230728,9.62,9.78,9.5599,9.68,469100
BDC,D,20230728,97.23,97.23,94.55,94.68,344800
BDJ,D,20230728,8.37,8.38,8.32,8.33,496400
BDN,D,20230728,4.91,5.02,4.88,4.99,1764100
BDX,D,20230728,285.1,285.49,280.11,280.32,1641500
BE,D,20230728,17.69,17.79,17.36,17.36,1887600
BEDU,D,20230728,1.2,1.2112,1.08,1.08,20000
BEKE,D,20230728,18,18.09,17.685,17.99,13369100
BEN,D,20230728,29.63,30.12,28.57,29.51,6081400
BEP,D,20230728,29.82,29.8205,29.14,29.38,168600
BEP-A,D,20230728,19.85,19.9375,19.51,19.51,3500
BEPC,D,20230728,31.63,31.75,31.21,31.32,355800
BEPH,D,20230728,15.7,15.74,15.6,15.74,20600
BEPI,D,20230728,16.94,16.94,16.62,16.62,4000
BERY,D,20230728,65.72,66.01,64.59,65.28,597600
BEST,D,20230728,2.2,2.32,2.2,2.28,28500
BF.A,D,20230728,71.66,72.35,71.43,72.22,39600
BF.B,D,20230728,70.68,70.96,70.22,70.82,773100
BFA.U,D,20230728,10.7,10.7,10.7,10.7,1500
BFA.W,D,20230728,0.111,0.111,0.111,0.111,300
BFAC,D,20230728,10.66,10.71,10.66,10.71,12100
BFAM,D,20230728,95.17,96.89,94.85,96.28,298500
BFH,D,20230728,40.35,41.07,39.57,40.75,867200
BFK,D,20230728,10.06,10.15,10.03,10.07,107700
BFL.W,D,20230728,0.26,0.27,0.25,0.27,400
BFLY,D,20230728,2.27,2.4,2.27,2.39,1345100
BFS,D,20230728,38.51,38.95,38.27,38.8,47400
BFS-D,D,20230728,22.48,22.48,22.33,22.33,400
BFS-E,D,20230728,22.15,22.45,22.15,22.43,3100
BFZ,D,20230728,11.59,11.63,11.58,11.59,36100
BG,D,20230728,109.01,109.06,107.705,108.36,771800
BGB,D,20230728,10.99,11.09,10.985,11.09,92600
BGH,D,20230728,13.3,13.43,13.2968,13.35,83900
BGR,D,20230728,12.37,12.376,12.22,12.36,60400
BGS,D,20230728,13.55,13.6,12.69,12.92,1724200
BGSF,D,20230728,10.1,10.23,10.1,10.2,6700
BGT,D,20230728,11.77,11.99,11.73,11.94,173200
BGX,D,20230728,11.48,11.5699,11.42,11.51,43900
BGY,D,20230728,5.54,5.54,5.48,5.51,224700
BH,D,20230728,203.84,203.84,201.2664,201.27,1500
BH.A,D,20230728,1013.5,1013.5,1013.5,1013.5,100
BHC,D,20230728,9.44,9.685,9.345,9.58,1671300
BHE,D,20230728,26.68,26.68,26.04,26.05,98600
BHG,D,20230728,12.59,12.66,11.71,12.32,53600
BHI.W,D,20230728,0.176,0.1938,0.176,0.1899,66800
BHIL,D,20230728,1.34,1.36,1.25,1.31,388300
BHK,D,20230728,10.74,10.8,10.72,10.8,113000
BHLB,D,20230728,22.92,22.97,22.61,22.79,141100
BHP,D,20230728,61.9,61.98,61.29,61.33,2122900
BHR,D,20230728,3.55,3.67,3.55,3.62,163400
BHR-B,D,20230728,14.032,14.032,13.84,13.9005,5600
BHR-D,D,20230728,22.7,23.1499,22.7,23.1499,1000
BHVN,D,20230728,18.5,19.08,18.17,19.05,1532200
BIG,D,20230728,10.2,10.4801,10.07,10.35,809300
BIGZ,D,20230728,8,8.15,8,8.15,613800
BILL,D,20230728,123.29,126,122,124.62,1230200
BIO,D,20230728,426.74,426.74,406.45,416.61,276100
BIP,D,20230728,35.46,35.87,35.21,35.28,144100
BIP-A,D,20230728,17.4,17.51,17.37,17.37,5000
BIP-B,D,20230728,16.81,17.09,16.81,16.8106,9200
BIPC,D,20230728,46.41,46.78,46.15,46.19,238100
BIPH,D,20230728,17.94,17.9499,17.47,17.59,8100
BIPI,D,20230728,17.41,17.5994,17.17,17.25,17900
BIT,D,20230728,14.7,14.85,14.7,14.82,61800
BJ,D,20230728,65.76,66.37,65.55,66.03,1151600
BK,D,20230728,45.89,45.92,44.72,44.98,2715100
BKD,D,20230728,3.51,3.53,3.435,3.49,665500
BKDT,D,20230728,52.92,52.92,52.92,52.92,100
BKE,D,20230728,36,36.86,36,36.16,265300
BKH,D,20230728,60.29,60.39,59.45,60.18,628100
BKI,D,20230728,70.26,70.265,69.505,69.85,2098200
BKK.W,D,20230728,0.2557,0.2557,0.22,0.2483,3500
BKKT,D,20230728,1.6,1.6599,1.58,1.63,1046100
BKN,D,20230728,11.75,11.75,11.63,11.73,28500
BKS.W,D,20230728,0.2222,0.2222,0.19,0.1901,9600
BKSY,D,20230728,1.89,1.9392,1.885,1.92,811700
BKT,D,20230728,11.98,12.1,11.98,12.08,34500
BKU,D,20230728,29.59,29.79,29.01,29.72,613600
BLCO,D,20230728,19.49,20,19.3601,19.74,412600
BLD,D,20230728,270.51,274.75,270,274.28,276500
BLDR,D,20230728,142.7,143.895,142.145,143.65,866000
BLE,D,20230728,10.48,10.535,10.44,10.45,101000
BLK,D,20230728,738.2,746.25,734.7789,738.34,522800
BLND,D,20230728,1.22,1.33,1.22,1.31,435000
BLW,D,20230728,13.18,13.22,13.14,13.2,61600
BLX,D,20230728,23.05,23.36,23.05,23.19,81500
BMA,D,20230728,25.02,25.78,24.63,25.26,209800
BMA.U,D,20230728,10.58,10.58,10.58,10.58,100
BMA.W,D,20230728,0.055,0.059,0.051,0.055,41500
BMAC,D,20230728,10.63,10.63,10.63,10.63,100
BME,D,20230728,40.18,40.3374,40.0507,40.16,40200
BMEZ,D,20230728,16.17,16.29,16.14,16.29,310300
BMI,D,20230728,164.21,165.16,161.52,162.26,107000
BML-H,D,20230728,19.99,20.02,19.81,19.96,10300
BML-J,D,20230728,21.24,21.34,21.235,21.24,2700
BML-L,D,20230728,21.02,21.15,20.9,21.15,17100
BMN,D,20230728,24.79,24.8,24.75,24.8,17900
BMO,D,20230728,92.6,92.88,91.9,91.99,317100
BMY,D,20230728,60.8,61.5,60.05,61.41,11595300
BN,D,20230728,35.14,35.354,34.55,34.72,1605300
BNED,D,20230728,1.28,1.28,1.21,1.25,745200
BNH,D,20230728,16.86,16.9979,16.755,16.92,19100
BNJ,D,20230728,15.96,16.1259,15.78,15.82,6900
BNL,D,20230728,16.97,17.08,16.46,16.52,795700
BNRE,D,20230728,35.44,35.4434,34.69,34.7,3000
BNS,D,20230728,50.15,50.32,49.825,49.91,794200
BNY,D,20230728,10.36,10.36,10.33,10.35,13500
BOA.U,D,20230728,10.05,10.05,10.05,10.05,100
BOA.W,D,20230728,0.0491,0.05,0.0401,0.0401,5400
BOC,D,20230728,19.31,19.505,19.19,19.2,63800
BOD.W,D,20230728,0.023,0.03,0.023,0.03,5200
BODY,D,20230728,0.4552,0.4719,0.4552,0.47,127400
BOE,D,20230728,10.24,10.255,10.1816,10.23,122800
BOH,D,20230728,57.01,58.07,56.2,57.15,499100
