<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20230922,1.141,1.141,1.14,1.14,500
AACIW,D,20230922,0.0571,0.0571,0.0571,0.0571,1000
AADI,D,20230922,5.2,5.25,4.94,4.99,189000
AADR,D,20230922,49.65,49.7234,49.39,49.49,600
AAL,D,20230922,13.09,13.16,12.86,12.9,24670900
AAME,D,20230922,1.99,1.99,1.9,1.95,8300
AAOI,D,20230922,9.47,9.69,9.29,9.58,1539100
AAON,D,20230922,56.66,57.7256,56.5301,56.95,353900
AAPB,D,20230922,23.72,24.3,23.65,23.8,21500
AAPD,D,20230922,22.23,22.295,21.92,22.22,207200
AAPL,D,20230922,174.67,177.079,174.05,174.79,56725300
AAPU,D,20230922,24.32,24.79,24.2,24.32,135800
AAXJ,D,20230922,64.71,64.73,64.345,64.42,297600
ABAT,D,20230922,10.79,11.2,10.57,10.85,334400
ABCB,D,20230922,37.5,37.78,36.77,37.18,326200
ABCL,D,20230922,4.93,5,4.88,5,2438400
ABCM,D,20230922,22.6,22.65,22.55,22.55,10464700
ABEO,D,20230922,3.61,3.95,3.61,3.79,109700
ABIO,D,20230922,2.03,2.0586,2.01,2.01,10900
ABL,D,20230922,7.15,7.15,6.79,6.79,2000
ABLLW,D,20230922,0.3497,0.3498,0.271,0.297,281800
ABLV,D,20230922,3.35,3.58,3.21,3.37,13500
ABLVW,D,20230922,0.0589,0.0589,0.0589,0.0589,100
ABNB,D,20230922,133.71,134.1842,131.12,132.2,4279100
ABOS,D,20230922,4.73,4.8603,4.42,4.45,271700
ABSI,D,20230922,1.5,1.53,1.44,1.47,192000
ABUS,D,20230922,1.97,1.97,1.8815,1.93,1127600
ABVC,D,20230922,0.98,0.99,0.82,0.88,74300
ACAB,D,20230922,10.63,10.63,10.53,10.63,6400
ACABW,D,20230922,0.08,0.09,0.0501,0.0732,428900
ACACU,D,20230922,11.88,11.88,11.88,11.88,100
ACAD,D,20230922,23.56,23.74,22.97,23.56,1698800
ACAH,D,20230922,10.45,10.45,10.4305,10.45,700
ACAX,D,20230922,10.56,10.59,10.56,10.58,3100
ACAXW,D,20230922,0.0587,0.0697,0.0304,0.0595,49400
ACB,D,20230922,0.7535,0.79,0.735,0.7511,19957800
ACBA,D,20230922,11.68,11.7,11.68,11.7,2000
ACBAW,D,20230922,0.041,0.041,0.041,0.041,300
ACCD,D,20230922,11,11.05,10.74,10.76,640700
