<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20231013,1.1,1.14,1.1,1.1,8200
AACI,20231013,10.69,10.69,10.69,10.69,300
AACIW,20231013,0.088,0.088,0.088,0.088,100
AADI,20231013,4.2,4.26,4.08,4.23,60300
AADR,20231013,49.43,49.43,49.4,49.43,1100
AAL,20231013,11.87,12.04,11.68,11.72,48141300
AAME,20231013,1.8983,1.8983,1.72,1.85,8900
AAOI,20231013,7.85,7.88,7.18,7.55,1939400
AAON,20231013,57.7,57.7,55.98,56.16,257400
AAPB,20231013,25.111,25.111,24.51,24.6,5700
AAPD,20231013,21.43,21.8477,21.4,21.77,164300
AAPL,20231013,181.42,181.93,178.14,178.85,51456000
AAPU,20231013,25.65,25.73,24.94,25.09,101500
AAXJ,20231013,63.92,64.135,63.63,63.78,551100
ABAT,20231013,7.18,7.54,6.85,7.54,235900
ABCB,20231013,38.9,38.96,37.62,37.66,180300
ABCL,20231013,4.04,4.28,3.94,4.26,2617900
ABCM,20231013,22.67,22.765,22.6,22.61,11602300
ABEO,20231013,4.24,4.3,4.1317,4.14,67700
ABIO,20231013,2.03,2.04,2.0213,2.035,2900
ABL,20231013,6.77,6.8034,6.2,6.29,10400
ABLLW,20231013,0.36,0.368,0.3375,0.3399,3200
ABLV,20231013,3.2,3.24,2.99,3,17700
ABNB,20231013,127.61,129.84,123.55,124.08,4929400
ABOS,20231013,3.82,3.82,3.66,3.74,249100
ABSI,20231013,1.32,1.355,1.29,1.34,127700
ABUS,20231013,1.83,1.89,1.81,1.86,483000
ABVC,20231013,0.85,0.95,0.85,0.94,55200
ACAC,20231013,10.93,10.93,10.93,10.93,800
ACAD,20231013,22.64,23.14,22.07,23.14,1351400
ACAH,20231013,10.52,10.62,10.44,10.51,109200
ACAX,20231013,10.55,10.55,10.55,10.55,500
ACB,20231013,0.506,0.5174,0.4925,0.5039,6339500
ACCD,20231013,7.26,7.37,6.995,7.02,656800
ACDC,20231013,9.88,9.88,9.0557,9.56,967400
ACER,20231013,0.7401,0.7771,0.7341,0.76,58500
ACET,20231013,1.36,1.43,1.34,1.38,196600
ACGL,20231013,83.66,84.46,83.17,84.16,1962300
ACGLN,20231013,17.34,17.5763,16.69,16.97,23400
ACGLO,20231013,20.14,20.15,19.72,19.8,15700
ACHC,20231013,75.26,76.82,75.13,76.33,602600
ACHL,20231013,0.87,0.904,0.822,0.904,66600
ACHV,20231013,3.7,3.82,3.65,3.72,38600
ACIC,20231013,7.41,7.52,7.3,7.5,311400
ACIU,20231013,2.74,2.7899,2.68,2.78,17200
ACIW,20231013,20.6,20.6,19.95,20.26,334800
ACLS,20231013,165,165.39,159,160.37,632600
ACLX,20231013,33.29,34.1,32.735,33.13,354000
ACMR,20231013,19.85,20.1982,18.6119,19,1448100
ACNB,20231013,32.72,32.92,32.72,32.92,4100
ACNT,20231013,8.82,8.82,8.02,8.05,25900
ACON,20231013,0.5038,0.5374,0.44,0.5345,17500
ACONW,20231013,0.025,0.0275,0.0249,0.0275,1500
ACOR,20231013,10.25,10.5,9.98,10,12100
ACRS,20231013,5.4,5.445,5.18,5.32,714400
ACRV,20231013,6.35,6.35,6.02,6.06,14000
ACRX,20231013,0.73,0.73,0.6006,0.6386,286300
ACST,20231013,2.62,2.62,2.5091,2.6,4600
ACT,20231013,28.31,28.43,27.625,27.82,136300
ACTG,20231013,3.64,3.64,3.55,3.57,126900
ACVA,20231013,14.66,14.66,13.72,13.78,627800
ACWI,20231013,93.46,93.69,92.42,92.77,5099300
ACWX,20231013,46.98,47.15,46.655,46.77,1625700
ACXP,20231013,4.01,6.09,4,4.34,2960500
ADAG,20231013,1.49,1.54,1.39,1.41,3600
ADAP,20231013,0.67,0.67,0.64,0.656,537900
