<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
A,D,20231005,112.09,112.24,108.77,110.35,1295600
AA,D,20231005,27.13,27.3,26.45,26.53,4425000
AAC,D,20231005,10.73,10.75,10.73,10.745,25500
AAC.T,D,20231005,0.23,0.234,0.23,0.23,2100
AAC.U,D,20231005,10.87,10.88,10.87,10.87,1000
AAC.W,D,20231005,0.6,0.6444,0.558,0.6,14400
AACT,D,20231005,10.28,10.2807,10.28,10.28,11400
AAI-C,D,20231005,23.76,23.77,23.76,23.77,2000
AAIC,D,20231005,4.17,4.295,4.17,4.27,82900
AAIN,D,20231005,23.38,23.5,23.38,23.5,4600
AAN,D,20231005,9.68,9.83,9.61,9.82,418600
AAP,D,20231005,51.81,53.61,51.03,52.96,2122300
AAT,D,20231005,18.36,18.57,18.1672,18.39,309700
AB,D,20231005,30.46,31.05,30.46,30.95,234200
ABBV,D,20231005,147.93,149.53,147.085,147.45,3599400
ABEV,D,20231005,2.54,2.54,2.47,2.49,20539100
ABG,D,20231005,212.63,214.85,207.96,207.99,129500
ABM,D,20231005,40.25,40.93,40.0826,40.73,547800
ABR,D,20231005,13.45,13.965,13.31,13.87,3844900
ABR-D,D,20231005,17.7,17.7,17.21,17.25,19700
ABR-E,D,20231005,18.07,18.07,17.115,17.115,700
ABR-F,D,20231005,17.95,18.41,17.95,18.34,16900
ABT,D,20231005,95.76,96.69,95.1,96.2,5708200
AC,D,20231005,35.2,35.64,35.13,35.15,7400
ACA,D,20231005,70.62,71.57,70.4,70.87,329700
ACCO,D,20231005,5.38,5.46,5.355,5.37,392300
ACEL,D,20231005,10.66,10.815,10.62,10.76,262200
ACH.W,D,20231005,1.09,1.175,1.09,1.175,2700
ACHR,D,20231005,4.9,4.975,4.71,4.91,3716400
ACI,D,20231005,22.97,23.03,22.79,22.82,2414000
ACM,D,20231005,80.92,81.08,80.29,80.7,481400
ACN,D,20231005,308.81,310.41,305.37,309.66,2095400
ACP,D,20231005,6.2,6.2281,6.12,6.14,480800
ACP-A,D,20231005,21.8591,21.8591,21.8,21.8,600
ACR,D,20231005,8.21,8.62,8.21,8.21,4900
ACR-C,D,20231005,21.62,21.83,21.49,21.71,8400
ACR-D,D,20231005,17.93,18.4,17.75,17.81,7200
ACRE,D,20231005,8.78,9.13,8.78,9.08,466900
ACV,D,20231005,18.25,18.37,18.19,18.36,22500
ADC,D,20231005,54.5,55.42,54.23,55.34,1065400
ADC-A,D,20231005,16.26,16.27,16.07,16.12,9000
ADCT,D,20231005,0.82,0.8873,0.815,0.86,95100
ADM,D,20231005,73.43,73.88,72.99,73.13,1555700
ADNT,D,20231005,35.67,36.03,34.67,35.06,674800
ADT,D,20231005,6.2,6.449,6.15,6.41,3104400
ADX,D,20231005,16.62,16.645,16.5314,16.6,91200
AEE,D,20231005,72.7,73.57,72.32,73.25,1728600
AEFC,D,20231005,18.58,18.6146,18.34,18.55,36900
AEG,D,20231005,4.72,4.77,4.72,4.76,949700
AEL,D,20231005,53.47,53.55,53.205,53.42,563200
AEL-A,D,20231005,21.74,21.82,21.55,21.57,18400
AEL-B,D,20231005,23.39,23.43,23.1,23.1,12800
AEM,D,20231005,43.36,44.37,43.29,44.36,1779400
AEO,D,20231005,16.45,16.47,16.0401,16.2,3438000
AER,D,20231005,58.46,59.48,58.26,59.22,1549700
AES,D,20231005,13.14,13.14,12.3601,12.61,16193800
AESC,D,20231005,53.34,53.34,50.4,51.3,29600
AESI,D,20231005,20.91,21.43,20.7,21,663100
AEVA,D,20231005,0.72,0.7497,0.686,0.6896,906300
AFB,D,20231005,9.4,9.42,9.35,9.37,61500
AFG,D,20231005,110.97,112.5,110.97,112.36,216500
AFGB,D,20231005,21.68,21.9,21.68,21.8,9800
AFGC,D,20231005,19.94,20.19,19.48,19.6,7900
AFGD,D,20231005,21.022,21.022,20.5701,20.5701,2300
AFGE,D,20231005,16.94,16.94,16.73,16.94,15100
AFL,D,20231005,75.94,76.94,75.66,76.44,1946200
AFT,D,20231005,13.13,13.21,13.12,13.18,59200
AG,D,20231005,4.99,5.07,4.97,5.05,3641700
AGCO,D,20231005,114.86,115.8681,114.365,115.56,666100
AGD,D,20231005,8.5,8.52,8.4518,8.51,96200
AGI,D,20231005,10.96,11.32,10.9138,11.31,2267100
AGL,D,20231005,18.46,18.71,17.89,18.16,6691600
AGM,D,20231005,149.9,151.22,148.48,150.36,49100
AGM-C,D,20231005,24.95,25.05,24.95,25.05,900
AGM-D,D,20231005,21.44,21.44,20.9601,20.9601,2100
AGM-E,D,20231005,21.02,21.02,20.31,20.82,5200
AGM-F,D,20231005,19.6,19.7999,19.0001,19.45,2600
AGM-G,D,20231005,17.81,17.83,17.44,17.63,5300
AGM.A,D,20231005,122,122,122,122,200
AGO,D,20231005,58.57,60.35,58.57,60.28,269900
AGR,D,20231005,28.73,28.85,28.21,28.76,1082500
AGRO,D,20231005,10.95,11,10.64,10.73,294400
AGS,D,20231005,6.54,6.62,6.42,6.61,243300
AGTI,D,20231005,5.69,5.72,5.25,5.48,511400
AGX,D,20231005,45.51,46.42,44.97,46.39,79800
AHH,D,20231005,10.2,10.4558,10.2,10.41,410500
AHH-A,D,20231005,20.7119,20.7799,20.6,20.75,21000
AHL-C,D,20231005,25.32,25.3439,25.03,25.16,27600
AHL-D,D,20231005,18.3,18.3,17.76,17.76,11600
AHL-E,D,20231005,17.375,17.375,17,17.05,16300
AHT,D,20231005,2.23,2.39,2.22,2.36,334400
AHT-D,D,20231005,9.08,9.08,8.23,9.08,19600
AHT-F,D,20231005,7.84,8.2899,7.84,8.09,3900
AHT-G,D,20231005,8.51,8.51,8,8.315,3400
AHT-H,D,20231005,9.17,9.3788,8.37,8.3874,1700
AHT-I,D,20231005,8.37,8.79,7.91,8.25,4600
AI,D,20231005,23.82,24.65,23.5308,24.23,3959100
AIC,D,20231005,24.2224,24.2723,24.15,24.2,6900
AIF,D,20231005,12.96,13.14,12.89,12.97,125600
AIG,D,20231005,59.14,60.64,59.07,60.15,4251700
AIG-A,D,20231005,22.65,22.65,22.38,22.43,36400
AIN,D,20231005,84.89,85.28,83.72,84.17,93400
AIO,D,20231005,16.46,16.57,16.32,16.34,69900
AIR,D,20231005,59,59.4885,58.62,59.19,234500
AIRC,D,20231005,30.15,30.57,30.15,30.45,546300
AIT,D,20231005,154.64,157.6216,153.61,154.53,271000
AIU,D,20231005,1.01,1.0101,1,1,9500
AIV,D,20231005,6.45,6.58,6.45,6.54,911800
AIZ,D,20231005,144.62,147.08,144.54,145.99,351300
AIZN,D,20231005,18.69,18.92,18.46,18.56,12600
AJG,D,20231005,229.3,231,228.225,229.56,780700
AJX,D,20231005,6.27,6.43,6.202,6.39,100000
AJXA,D,20231005,24.18,24.18,24.165,24.1752,3000
AKA,D,20231005,4.4,5.0743,3.81,3.87,83700
AKO.A,D,20231005,10.9361,10.9361,10.79,10.8,300
AKO.B,D,20231005,12.85,12.9,12.62,12.71,6400
AKR,D,20231005,13.69,13.8,13.595,13.8,695300
AL,D,20231005,37.29,37.85,37.07,37.76,562400
AL-A,D,20231005,23.95,24.165,23.95,24.13,17800
ALB,D,20231005,157.21,157.67,152,155.03,1948500
ALC,D,20231005,75.49,75.74,74.79,75.34,965600
ALCC,D,20231005,10.32,10.33,10.32,10.32,7100
ALE,D,20231005,51.66,52.8,51.405,52.31,545100
ALEX,D,20231005,16.25,16.35,16.15,16.22,241800
ALG,D,20231005,172.57,174.475,171.47,173.46,90700
ALIT,D,20231005,6.58,6.62,6.33,6.48,8546300
ALK,D,20231005,36.43,36.51,35.42,35.68,2545300
ALL,D,20231005,111.42,112.83,110.74,112.37,1014700
ALL-B,D,20231005,25.48,25.57,25.32,25.33,22400
ALL-H,D,20231005,19.18,19.25,19,19.08,63500
ALL-I,D,20231005,18.04,18.04,17.91,18.03,34600
ALL-J,D,20231005,26.1,26.1,25.93,25.96,34400
ALL.W,D,20231005,0.43,0.43,0.43,0.43,400
ALLE,D,20231005,103.95,104.075,102.075,102.75,611100
ALLG,D,20231005,2.2,2.21,2.1,2.14,123200
ALLY,D,20231005,24.64,25.25,24.54,25.13,4534300
ALSN,D,20231005,58.78,59.48,58.3301,58.77,428600
ALTG,D,20231005,11.28,11.38,11.1,11.25,145700
ALU.W,D,20231005,0.9,0.9,0.85,0.85,700
ALUR,D,20231005,4.61,4.9705,4.61,4.73,38600
ALV,D,20231005,93.38,93.73,90.43,92.83,1222100
ALX,D,20231005,169.75,172.98,167.94,170.8,13300
AM,D,20231005,11.59,11.885,11.59,11.84,1835200
AMBC,D,20231005,12.17,12.42,12.17,12.27,373400
AMBP,D,20231005,2.93,2.95,2.845,2.87,1058400
AMC,D,20231005,8.25,8.83,8.155,8.3,20160500
AMCR,D,20231005,9.01,9.09,8.91,8.93,6928500
AME,D,20231005,150.07,150.4478,147.7,148.41,883200
AMG,D,20231005,127.04,129.33,127.04,129.18,178900
