<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20231013,108.02,110.61,106.82,110.51,2807600
AA,20231013,27,27.25,26.33,26.58,4533400
AAC,20231013,10.78,10.78,10.76,10.78,16200
AAC.W,20231013,0.6,0.63,0.5883,0.63,12600
AACT,20231013,10.29,10.29,10.29,10.29,22000
AAI-B,20231013,20.38,20.38,20.38,20.38,500
AAI-C,20231013,24,24,23.9,23.94,2100
AAIC,20231013,4.44,4.44,4.345,4.36,66400
AAIN,20231013,23.45,23.52,23.45,23.4999,4100
AAN,20231013,9.63,9.7,9.35,9.37,369700
AAP,20231013,49.9,50.785,49.28,50.75,1403500
AAT,20231013,18.56,18.565,18.05,18.29,207600
AB,20231013,29.95,30.17,29.08,29.4,265800
ABBV,20231013,148.95,149.66,147.34,147.96,4305100
ABEV,20231013,2.55,2.575,2.51,2.55,12535700
ABG,20231013,212.42,216.355,210.05,212.4,204600
ABM,20231013,43.98,44.33,43.43,44.03,425000
ABR,20231013,14.41,14.46,13.97,14.23,2603800
ABR-D,20231013,17.22,17.26,16.9501,16.97,12200
ABR-E,20231013,17.01,17.21,16.65,16.75,11200
ABR-F,20231013,18.05,18.05,17.8,17.9,12600
ABT,20231013,89.88,91.66,89.81,90.87,5624200
AC,20231013,34.1,34.67,34.1,34.27,2000
ACA,20231013,69.27,69.52,67.61,68.2,171500
ACCO,20231013,5.36,5.36,5.22,5.24,399000
ACEL,20231013,10.4,10.5452,10.195,10.22,318400
ACH.W,20231013,1.24,1.2899,1.1806,1.25,11800
ACHR,20231013,5.18,5.23,5.02,5.11,3394200
ACI,20231013,22.67,22.77,22.4,22.4,3265800
ACM,20231013,82.74,82.84,79.96,80.75,650700
ACN,20231013,302.3,306,300.095,301.83,1672500
ACP,20231013,6.35,6.39,6.33,6.39,205800
ACP-A,20231013,21.41,23.09,21.333,21.35,1600
ACR,20231013,8.31,8.31,8.1,8.15,1800
ACR-C,20231013,22.12,22.39,22.08,22.13,11900
ACR-D,20231013,17.83,17.95,17.69,17.76,12700
ACRE,20231013,9.5,9.58,9.245,9.27,441400
ACRO,20231013,10.3,10.3,10.3,10.3,26300
ACV,20231013,18.33,18.33,17.99,18.04,24200
ADC,20231013,54.16,54.97,53.865,54.9,772000
ADC-A,20231013,16.31,16.49,16.26,16.29,9400
ADCT,20231013,0.85,0.8505,0.7603,0.8,255000
ADM,20231013,72.7,73.48,72.69,73.32,1699400
ADNT,20231013,36.1,36.165,35.25,35.51,861900
ADT,20231013,6.37,6.38,6.24,6.28,1396400
ADX,20231013,16.83,16.93,16.665,16.7,85800
AEE,20231013,77.63,78.12,77.17,77.95,2443200
AEFC,20231013,18.96,19.09,18.84,18.98,46300
AEG,20231013,4.77,4.795,4.72,4.72,1050200
AEL,20231013,53.69,53.74,53.28,53.31,286100
AEL-A,20231013,21.4,21.545,21.05,21.21,35900
AEL-B,20231013,22.66,22.825,22.21,22.33,26800
AEM,20231013,48.31,48.93,47.63,48.6,3528500
AENZ,20231013,2,2.0899,1.995,2.0899,400
AEO,20231013,17.11,17.18,16.75,16.82,3027400
AER,20231013,59.93,60.2,58.61,58.97,936300
AES,20231013,13.19,13.39,13.04,13.16,9307900
AESC,20231013,53.52,54.29,52.81,53.2,10100
AESI,20231013,20,20.3074,19.834,20.25,957400
AEV.W,20231013,0.05,0.06,0.0495,0.06,2200
AEVA,20231013,0.71,0.739,0.6846,0.7202,485100
AFB,20231013,9.54,9.54,9.435,9.45,92300
AFG,20231013,110.29,111.44,108.75,109.12,488100
AFGB,20231013,21.76,22.055,21.59,21.6606,2700
AFGC,20231013,19.91,20.135,19.31,19.31,5000
AFGD,20231013,21.09,21.09,20.493,20.63,42400
AFGE,20231013,17.57,17.57,17.05,17.35,10700
AFL,20231013,80.26,81.01,79.975,80.25,1938100
AFT,20231013,13.27,13.33,13.12,13.14,92600
AG,20231013,5.09,5.505,5.02,5.39,12259000
AGCO,20231013,120.92,121.8699,117.4162,118.45,465600
AGD,20231013,8.64,8.66,8.54,8.55,45900
AGI,20231013,11.92,12.295,11.82,12.2,3645800
AGL,20231013,18.25,18.52,17.98,18.15,1285600
AGM,20231013,149.61,149.61,145.85,145.94,36000
AGM-C,20231013,24.95,24.95,24.95,24.95,200
AGM-D,20231013,21.94,21.94,21.45,21.47,700
AGM-E,20231013,21.86,21.86,21.7529,21.7529,300
AGM-F,20231013,19.9,19.9,19.35,19.66,5000
AGM-G,20231013,18.18,18.4199,18.18,18.3499,3900
AGM.A,20231013,120.89,120.89,120.89,120.89,100
AGO,20231013,62.14,62.31,60.67,61.04,197300
AGR,20231013,30.9,31.21,30.74,30.98,881400
AGRO,20231013,10.73,10.785,10.65,10.69,302800
AGS,20231013,7.01,7.08,6.78,6.79,457800
AGTI,20231013,5.42,5.49,5.31,5.41,524600
AGX,20231013,46.2,46.3275,45.53,45.9,53600
AHH,20231013,10.77,10.795,10.335,10.35,278000
AHH-A,20231013,21.2,21.3302,21.0078,21.02,8600
AHL-C,20231013,25.33,25.4171,24.96,25.13,34000
AHL-D,20231013,17.77,18.3,17.67,17.67,8700
AHL-E,20231013,17.09,17.47,17.0501,17.07,20200
AHT,20231013,2.33,2.33,2.19,2.2,265400
AHT-D,20231013,9.82,10.37,9.8,9.8,10300
AHT-F,20231013,9.45,9.45,8.57,9.07,4300
AHT-G,20231013,10,10,10,10,900
AHT-H,20231013,9.96,9.96,9.47,9.73,2200
AHT-I,20231013,9.5621,9.94,9,9.0001,2200
AI,20231013,25.04,25.25,24.44,24.75,5196700
AIC,20231013,24.05,24.1,24.05,24.1,2400
AIF,20231013,12.97,12.9991,12.9,12.92,85500
AIG,20231013,61.59,62,60.725,61.09,2314800
AIG-A,20231013,21.77,21.78,21.26,21.43,59600
AIN,20231013,86.54,87.0947,84.36,84.55,91000
AIO,20231013,16.6,16.62,16.32,16.33,60000
AIR,20231013,58.9,58.95,57.42,58.07,176300
AIRC,20231013,31.07,31.24,30.85,31.12,815000
AIT,20231013,162.51,162.51,159,159.43,232900
AIU,20231013,0.9705,1.01,0.9112,0.9568,16000
