Symbol,Name,Country,IPO Year,Volume,Sector,Industry
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,United States,2025,1014854,,
AACBR,Artius II Acquisition Inc. Rights,United States,2025,74,,
AACBU,Artius II Acquisition Inc. Units,United States,2025,900,Finance,Blank Checks
AACG,ATA Creativity Global American Depositary Shares,China,2008,12875,Real Estate,Other Consumer Services
AAL,American Airlines Group Inc. Common Stock,United States,,57884330,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,,2612,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,3003064,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,661838,Industrials,Industrial Machinery/Components
AAPG,Ascentage Pharma Group International American Depository Shares,China,2025,5810,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Apple Inc. Common Stock,United States,1980,38743074,Technology,Computer Manufacturing
AARD,Aardvark Therapeutics Inc. Common Stock,United States,2025,52248,Health Care,Biotechnology: Pharmaceutical Preparations
ABAT,American Battery Technology Company Common Stock,United States,,442939,Basic Materials,Metal Mining
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,4346353,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,2163400,Health Care,Biotechnology: Pharmaceutical Preparations
ABL,Abacus Global Management Inc. Class A Common Stock,United States,2020,263847,Finance,Investment Managers
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,10209,Finance,Investment Managers
ABLLW,Abacus Global Management Inc. Warrant,United States,2020,914,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,9380,Consumer Discretionary,Other Consumer Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,5608777,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,135355,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Abpro Holdings Inc Common Stock,United States,2022,6369519,Health Care,Biotechnology: Pharmaceutical Preparations
ABPWW,Abpro Holdings Inc. Warrant,United States,2022,30593,Health Care,Biotechnology: Pharmaceutical Preparations
ABSI,Absci Corporation Common Stock,United States,2021,1533908,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABTS,Abits Group Inc Ordinary Shares,China,,27107,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,625357,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,,260666,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Canada,,4916515,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Canada,,54669,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,France,2023,45621,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,1466047,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,Canada,,578940,Health Care, Medicinal Chemicals and Botanical Products 
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,2022,736734,Energy,Oilfield Services/Equipment
ACET,Adicet Bio Inc. Common Stock ,United States,2018,397674,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,1182976,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,26165,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,17144,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,1367438,Health Care,Medical Specialities
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,192182,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIC,American Coastal Insurance Corporation Common Stock,United States,,136214,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,Switzerland,2016,245718,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,United States,,623917,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,536065,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,359989,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,1643095,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,United States,,15500,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,United States,,67938,Industrials,Steel/Iron Ore
ACOG,Alpha Cognition Inc. Common Stock,Canada,,35526,,
ACON,Aclarion Inc. Common Stock,United States,2022,60584,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,United States,2022,1803,Health Care,Medical Specialities
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,715605,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,2022,814507,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,2021,486791,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,216783,Miscellaneous,Multi-Sector Companies
ACTU,Actuate Therapeutics Inc. Common stock,United States,2024,23231,Health Care,Biotechnology: Pharmaceutical Preparations
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,55358,Health Care,Biotechnology: Pharmaceutical Preparations
